File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Analysis\Analysis.cpp,49,7,4,0,8,1,34,161,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Analysis\Analysis.h,59,17,7,0,13,1,29,166,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Boundary\Boundary.cpp,70,28,17,3,10,0,32,120,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Boundary\Boundary.h,98,45,40,0,24,3,29,170,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Boundary\BoundaryCond.h,205,120,68,1,57,4,28,154,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Examples\Ex1-Thermal-Single\Ex1-Thermal-Single.cpp,112,42,38,1,18,0,52,199,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Examples\Ex2-CGNS-Input\Ex2-CGNS-Input.cpp,145,33,29,2,25,0,87,205,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Examples\Ex3-Conv-Diff-Single\Ex3-Conv-Diff-Single.cpp,216,65,58,4,37,3,114,300,24,116
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Examples\Ex4-Thermal-5Cells\Ex4-Thermal-5Cells.cpp,123,55,48,4,29,3,39,155,24,113
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Examples\Ex5-CFD-SIMPLE\Ex5-CFD-SIMPLE.cpp,227,94,90,3,48,8,85,442,23,105
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Examples\Ex6-CFD-SIMPLE-cgns\Ex6-CFD-SIMPLE-cgns.cpp,328,138,114,16,77,9,113,564,23,105
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Examples\Ex7-UDO-Usage\boundary.cpp,15,5,3,0,6,0,4,7,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Examples\Ex7-UDO-Usage\Ex7-UDO-Usage.cpp,46,11,6,1,9,0,26,112,23,105
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Examples\Ex9-Fluent-Mesh\Ex9-Fluent-Mesh.cpp,47,9,6,1,11,0,27,135,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Field\Field.cpp,139,67,31,11,29,1,43,153,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Field\PatchField.cpp,79,39,18,3,15,0,25,110,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Field\Field.h,137,53,37,3,29,3,55,257,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Field\FieldOperations.h,42,9,1,0,10,0,23,108,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Field\FvField.h,373,156,89,18,67,4,150,715,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Field\GeometricField.h,530,246,156,26,99,9,185,826,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Field\_CC_Fv_field_Def.h,98,33,17,2,17,0,48,192,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\FvExp.h,230,63,29,7,32,2,135,456,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\FvImp.h,88,32,11,0,19,4,37,209,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Stencil.h,28,3,0,0,3,0,22,100,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Div\ConvectionScheme.h,73,25,11,0,24,1,24,111,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Div\ConvectionScheme_Def.h,53,19,13,2,10,2,24,176,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Div\Div.h,509,134,69,22,58,10,317,1507,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Div\DivScheme.h,73,25,11,0,24,1,24,111,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Grad\FaceGrad.h,42,22,11,1,11,1,9,89,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Grad\FvExpGrad.h,313,84,42,10,49,6,180,778,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Grad\FvGradScheme.h,19,11,4,0,5,3,3,17,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Laplacian\Laplacian.cpp,142,64,39,11,25,8,53,272,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Laplacian\Laplacian.h,169,80,44,13,25,8,64,383,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Mesh\CC_Cell.cpp,26,2,1,0,2,0,22,100,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Mesh\FvFace.cpp,110,40,30,4,20,3,50,307,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Mesh\FvGrid.cpp,1253,554,410,73,175,45,524,2552,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Mesh\CC_Cell.h,49,13,8,0,10,1,26,129,22,101
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Mesh\FvFace.h,99,39,27,0,26,14,34,256,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\FiniteVolume\Mesh\FvGrid.h,224,126,88,12,46,15,52,381,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Input\Input.cpp,771,468,362,74,100,36,203,772,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Input\Input.h,290,183,132,8,40,3,67,223,23,108
